"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"March","2022","MS","2908.14","2024-01-03"
"February","2022","MS","2549.80","2024-01-03"
"January","2022","MS","2472.98","2024-01-03"
"December","2021","MS","2815.85","2024-01-03"
"November","2021","MS","2645.24","2024-01-03"
"October","2021","MS","2750.48","2024-01-03"
"September","2021","MS","2597.94","2024-01-03"
"August","2021","MS","2692.06","2024-01-03"
"July","2021","MS","2630.35","2024-01-03"
"June","2021","MS","2409.18","2024-01-03"
"May","2021","MS","1990.99","2024-01-03"
"April","2021","MS","2385.96","2024-01-03"
"March","2021","MS","2740.00","2024-01-03"
"February","2021","MS","2472.00","2024-01-03"
"January","2021","MS","2611.00","2024-01-03"
"December","2020","MS","2706.00","2024-01-03"
"November","2020","MS","2665.00","2024-01-03"
"October","2020","MS","2655.00","2024-01-03"
"September","2020","MS","2451.00","2024-01-03"
"August","2020","MS","2382.00","2024-01-03"
"July","2020","MS","2261.00","2024-01-03"
"June","2020","MS","2282.00","2024-01-03"
"May","2020","MS","1771.00","2024-01-03"
"April","2020","MS","973.00","2024-01-03"
"August","2023","Naphtha","1206.06","2024-01-03"
"July","2023","Naphtha","1043.87","2024-01-03"
"June","2023","Naphtha","1057.40","2024-01-03"
"May","2023","Naphtha","1156.87","2024-01-03"
"April","2023","Naphtha","1112.61","2024-01-03"
"March","2023","Naphtha","1128.64","2024-01-03"
"February","2023","Naphtha","1067.14","2024-01-03"
"January","2023","Naphtha","1132.80","2024-01-03"
"December","2022","Naphtha","1039.61","2024-01-03"
"November","2022","Naphtha","931.29","2024-01-03"
"October","2022","Naphtha","860.54","2024-01-03"
"September","2022","Naphtha","976.96","2024-01-03"
"August","2022","Naphtha","1088.62","2024-01-03"
"July","2022","Naphtha","1150.92","2024-01-03"
"June","2022","Naphtha","947.95","2024-01-03"
"May","2022","Naphtha","828.49","2024-01-03"
"April","2022","Naphtha","973.56","2024-01-03"
"March","2022","Naphtha","1131.58","2024-01-03"
